Country_name,id_regiao,Ladder_score,Standard_error_of_ladder_score,upperwhisker,lowerwhisker,Logged_GDP_per_capita,Social_support,Healthy_life_expectancy,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Ladder_score_in_Dystopia,Explained_by_1, Log_GDP_per_capita,Explained_by_2, Social_support,Explained_by_3, Healthy_life_expectancy,Explained_by_4
Ukraine,2,4875,52,4977,4773,9436,888,64902,724,-11,924,2430,979,958,517,417,181,10,1813
United Arab Emirates,5,6561,39,6637,6484,11085,844,67333,932,74,589,2430,1555,860,594,670,236,223,2422
United Kingdom,10,7064,38,7138,6990,10707,934,72500,859,233,459,2430,1423,1062,757,580,340,306,2596
United States,6,6951,49,7047,6856,11023,920,68200,837,98,698,2430,1533,1030,621,554,252,154,2807
Uruguay,4,6431,46,6521,6341,9966,925,69100,896,-92,590,2430,1164,1042,649,625,128,223,2600
Uzbekistan,2,6179,68,6312,6045,8836,918,65255,970,311,515,2430,769,1027,528,716,391,271,2477
Venezuela,4,4892,64,5017,4767,9073,861,66700,615,-169,827,2430,852,897,574,284,78,72,2135
Vietnam,8,5411,39,5488,5334,8973,850,68034,940,-98,796,2430,817,873,616,679,124,91,2211
Yemen,5,3658,70,3794,3521,7578,832,57122,602,-147,800,2430,329,831,272,268,92,89,1776
Zambia,9,4073,69,4209,3938,8145,708,55809,782,61,823,2430,528,552,231,487,227,74,1975
Zimbabwe,9,3145,58,3259,3030,7943,750,56201,677,-47,821,2430,457,649,243,359,157,75,1205
